ResponseId,MainBranch,Employment,Country,US_State,UK_Country,EdLevel,Age1stCode,LearnCode,YearsCode,YearsCodePro,DevType,OrgSize,Currency,CompTotal,CompFreq,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,OpSys,NEWStuck,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOComm,NEWOtherComms,Age,Gender,Trans,Sexuality,Ethnicity,Accessibility,MentalHealth,SurveyLength,SurveyEase,ConvertedCompYearly
92,"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,Netherlands,NA,NA,Primary/elementary school,11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Friend or family member;Other (please specify):",20,10,Other (please specify):;DevOps specialist;System administrator,"10,000 or more employees",EUR European Euro,100000,Yearly,Bash/Shell;C#;JavaScript;Node.js;PowerShell;Python;TypeScript,C#;C++;F#;PowerShell;Python;Rust;TypeScript,NA,NA,NA,NA,ASP.NET;ASP.NET Core ;jQuery;React.js,Angular.js;ASP.NET Core ;Vue.js,.NET Framework;.NET Core / .NET 5,.NET Framework;.NET Core / .NET 5,Docker;Git;Kubernetes;Puppet;Terraform;Unity 3D,Docker;Git,Visual Studio;Visual Studio Code,Visual Studio;Visual Studio Code,Windows,Visit Stack Overflow;Go for a walk or other physical activity;Google it;Do other work and come back later,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Multiple times per day,"Yes, somewhat",Yes,25-34 years old,Man,No,Bisexual,White or of European descent,None of the above,"I have a concentration and/or memory disorder (e.g. ADHD);I have a mood or emotional disorder (e.g. depression, bipolar disorder);I have an anxiety disorder;I have autism / an autism spectrum disorder (e.g. Asperger's)",Appropriate in length,Neither easy nor difficult,108098
93,I am a developer by profession,Employed full-time,Germany,NA,NA,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25 - 34 years,"Other online resources (ex: videos, blogs, etc)",12,8,"Developer, front-end",20 to 99 employees,EUR European Euro,NA,NA,HTML/CSS;Java;JavaScript;Node.js;PHP;PowerShell;SQL;TypeScript,NA,MongoDB;MySQL;PostgreSQL;SQLite,NA,AWS;Google Cloud Platform,NA,Angular;Express;Symfony;Vue.js,NA,NA,NA,Deno;Docker;Git;Kubernetes;Yarn,NA,IntelliJ,NA,MacOS,Visit Stack Overflow;Google it,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per month or weekly,"Yes, somewhat",No,25-34 years old,Prefer not to say,NA,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Too long,Neither easy nor difficult,NA
94,I am a developer by profession,Employed full-time,India,NA,NA,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25 - 34 years,Online Courses or Certification,6,5,"Developer, mobile",100 to 499 employees,INR	Indian rupee,NA,Monthly,HTML/CSS;Objective-C;Swift,Kotlin;Objective-C;Swift,Firebase;MySQL;SQLite,Firebase;MySQL;SQLite,AWS,AWS,NA,NA,NA,NA,NA,NA,Android Studio;Xcode,Sublime Text;Visual Studio Code;Xcode,MacOS,Visit Stack Overflow;Google it;Watch help / tutorial videos,Stack Overflow;Stack Exchange,Multiple times per day,Yes,A few times per week,"Yes, definitely",Yes,25-34 years old,Man,No,Straight / Heterosexual,East Asian,None of the above,None of the above,Appropriate in length,Neither easy nor difficult,NA
95,I am a student who is learning to code,"Not employed, but looking for work",Israel,NA,NA,Something else,18 - 24 years,"Other online resources (ex: videos, blogs, etc)",NA,NA,NA,NA,NA,NA,NA,Perl,Perl,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vim,Vim,BSD,Visit Stack Overflow;Google it;Do other work and come back later,Stack Overflow,Multiple times per day,Yes,Daily or almost daily,Neutral,No,45-54 years old,Man,No,NA,White or of European descent,None of the above,None of the above,Appropriate in length,Easy,NA
96,I am a developer by profession,Employed full-time,Italy,NA,NA,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Courses or Certification",25,21,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, embedded applications or devices",100 to 499 employees,EUR European Euro,NA,NA,C#;HTML/CSS;Java;JavaScript;Node.js;SQL;TypeScript,C#;HTML/CSS;Java;JavaScript;Node.js;SQL;TypeScript,Microsoft SQL Server;MongoDB;Oracle;SQLite,Microsoft SQL Server;MongoDB;Oracle;SQLite,NA,NA,Angular;ASP.NET;ASP.NET Core ;jQuery,Angular;ASP.NET Core ,.NET Framework;.NET Core / .NET 5,.NET Framework;.NET Core / .NET 5,Ansible;Git;Kubernetes;Xamarin,Ansible;Git;Kubernetes;Xamarin,Android Studio;Notepad++;Visual Studio;Visual Studio Code,Notepad++;Visual Studio;Visual Studio Code,Windows,Visit Stack Overflow;Google it;Watch help / tutorial videos;Do other work and come back later;Meditate,Stack Overflow;Stack Exchange,Multiple times per day,Yes,I have never participated in Q&A on Stack Overflow,"Yes, somewhat",Yes,35-44 years old,Man,No,NA,White or of European descent,None of the above,None of the above,Too long,Neither easy nor difficult,NA
97,I am a developer by profession,Employed full-time,Germany,NA,NA,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,Other (please specify):,10,Less than 1 year,"Developer, full-stack",100 to 499 employees,EUR European Euro,40000,Monthly,Bash/Shell;Clojure;Haskell;Java;JavaScript;Kotlin;Python,Haskell,Cassandra,NA,AWS;Google Cloud Platform,NA,React.js,NA,Flutter,NA,Docker;Git;Kubernetes,Git,Emacs;Neovim;Vim,Emacs;Neovim;Vim,Linux-based,Call a coworker or friend;Panic,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,"No, not really",Yes,18-24 years old,"Non-binary, genderqueer, or gender non-conforming",Yes,Bisexual;Queer,White or of European descent,None of the above,"I have a mood or emotional disorder (e.g. depression, bipolar disorder);I have an anxiety disorder",Appropriate in length,Easy,518868
98,I am a developer by profession,Employed full-time,Poland,NA,NA,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Friend or family member;Online Courses or Certification",10,4,"Developer, front-end;Developer, full-stack;Developer, back-end;Designer",2 to 9 employees,PLN	Polish zloty,9000,Monthly,HTML/CSS;JavaScript;Node.js;PHP;SQL;TypeScript,HTML/CSS;JavaScript;Node.js;TypeScript,Firebase;MongoDB;MySQL;PostgreSQL;SQLite,NA,AWS;DigitalOcean;Google Cloud Platform;Heroku,NA,Laravel;React.js,React.js,NA,NA,Docker;Git;Terraform;Yarn,Docker;Git,Vim;Visual Studio Code,Visual Studio Code,Windows,Visit Stack Overflow;Google it,Stack Overflow;Stack Exchange,Multiple times per day,Yes,I have never participated in Q&A on Stack Overflow,"Yes, somewhat",No,18-24 years old,Man,No,Gay or Lesbian,White or of European descent,None of the above,None of the above,Appropriate in length,Easy,27336
99,I am a developer by profession,Employed full-time,India,NA,NA,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18 - 24 years,"Other online resources (ex: videos, blogs, etc);Online Courses or Certification",3,Less than 1 year,"Developer, mobile;Developer, front-end;Developer, full-stack;Developer, back-end",20 to 99 employees,INR	Indian rupee,NA,Monthly,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Linux-based,Visit Stack Overflow;Google it,Stack Overflow;Stack Exchange,Multiple times per day,Yes,A few times per week,"Yes, definitely",No,18-24 years old,Man,No,Straight / Heterosexual,East Asian,None of the above,None of the above,Too long,Easy,NA
100,I am a developer by profession,Employed full-time,Sweden,NA,NA,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",18 - 24 years,School,10,7,"Engineer, data;Developer, back-end",20 to 99 employees,SEK	Swedish krona,51000,Yearly,Scala,Scala,MongoDB,MongoDB,Google Cloud Platform,AWS,NA,NA,NA,NA,Git,Git,IntelliJ,IntelliJ,MacOS,Google it,Stack Overflow;Stack Exchange;Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies),Multiple times per day,Yes,Daily or almost daily,"Yes, definitely",Yes,25-34 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Easy,5216
101,I am a developer by profession,"Independent contractor, freelancer, or self-employed",France,NA,NA,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Courses or Certification",8,3,"Developer, mobile;Developer, front-end;Developer, full-stack;Developer, back-end","Just me - I am a freelancer, sole proprietor, etc.",EUR European Euro,140000,Yearly,Dart;JavaScript;Node.js,C++;Dart;Swift,Firebase;PostgreSQL;SQLite,Firebase;SQLite,Google Cloud Platform,AWS;Google Cloud Platform,Django;Vue.js,Vue.js,Flutter,Flutter;TensorFlow;Torch/PyTorch,Docker;Git,Docker;Git;Terraform,Android Studio;Visual Studio Code;Xcode,Visual Studio Code,MacOS,Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos;Visit another developer community (please name):,Stack Overflow,Multiple times per day,Yes,Daily or almost daily,"Yes, definitely",Yes,18-24 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Too long,Easy,151337
102,I am a developer by profession,Employed part-time,Germany,NA,NA,Some college/university study without earning a degree,11 - 17 years,School;Friend or family member,18,8,"Developer, desktop or enterprise applications;Developer, full-stack;Other (please specify):;Developer, back-end;DevOps specialist",10 to 19 employees,EUR European Euro,1900,Monthly,C#;HTML/CSS;JavaScript;PHP,C#,MariaDB;Microsoft SQL Server;MongoDB;PostgreSQL;SQLite,PostgreSQL;SQLite,AWS;Microsoft Azure,NA,Angular;Angular.js;ASP.NET;ASP.NET Core ;jQuery,ASP.NET Core ,.NET Framework;.NET Core / .NET 5,.NET Framework;.NET Core / .NET 5,Docker;Git,Docker;Git,PHPStorm;PyCharm;Rider,PHPStorm;Rider,Other (please specify):,Visit Stack Overflow;Google it;Do other work and come back later,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Multiple times per day,"Yes, definitely",No,25-34 years old,Man,No,Straight / Heterosexual,"Or, in your own words:",None of the above,"I have a mood or emotional disorder (e.g. depression, bipolar disorder)",Appropriate in length,Easy,24648
103,I am a developer by profession,Employed full-time,Pakistan,NA,NA,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18 - 24 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Other (please specify):",4,1,"Developer, back-end;Student",20 to 99 employees,PKR	Pakistani rupee,100000,Monthly,Python,C;C++;Rust,NA,NA,AWS,NA,Django,Django,NA,NA,Docker;Git,Docker;Git,Visual Studio;Visual Studio Code,Visual Studio;Visual Studio Code,Linux-based,Visit Stack Overflow;Google it,Stack Overflow,Multiple times per day,Yes,A few times per month or weekly,Neutral,Yes,18-24 years old,Man,No,Straight / Heterosexual,South Asian,None of the above,None of the above,Appropriate in length,Easy,7788
104,I am a developer by profession,Employed full-time,United States of America,California,NA,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25 - 34 years,"Other online resources (ex: videos, blogs, etc);School",10,5,Scientist;Engineering manager,100 to 499 employees,ZMW Zambian kwacha,1e29,Monthly,C++;Go;Python;TypeScript,C++;Go;Python;Rust;TypeScript,PostgreSQL;SQLite,PostgreSQL;SQLite,AWS;Google Cloud Platform;Heroku,AWS;Google Cloud Platform;Heroku,NA,NA,NumPy;TensorFlow,NumPy;TensorFlow,Docker;Git;Kubernetes,Docker;Git;Kubernetes,Vim;Visual Studio Code,Vim;Visual Studio Code,Linux-based,Go for a walk or other physical activity;Panic,NA,NA,NA,NA,NA,NA,25-34 years old,Man,Prefer not to say,Prefer not to say,NA,NA,NA,NA,NA,NA
105,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Israel,NA,NA,"Associate degree (A.A., A.S., etc.)",25 - 34 years,School,4,2,"Developer, front-end;Developer, full-stack;Developer, back-end","Just me - I am a freelancer, sole proprietor, etc.",USD	United States dollar,NA,NA,HTML/CSS;JavaScript;PHP;SQL,HTML/CSS;JavaScript;PHP;SQL,MySQL;PostgreSQL,MySQL;PostgreSQL,DigitalOcean,DigitalOcean,Angular;Laravel;Vue.js,Laravel;Vue.js,NA,NA,Git,Git,Notepad++;PHPStorm;Visual Studio Code,PHPStorm,Windows,Visit Stack Overflow;Google it;Watch help / tutorial videos,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,Neutral,Yes,25-34 years old,Man,No,NA,White or of European descent,NA,NA,Appropriate in length,Easy,NA
106,I am a developer by profession,Employed full-time,Switzerland,NA,NA,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11 - 17 years,Other (please specify):,38,26,"Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end","1,000 to 4,999 employees",CHF	Swiss franc,132000,Yearly,Bash/Shell;C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,Bash/Shell;C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,Microsoft SQL Server,Microsoft SQL Server,Microsoft Azure,Microsoft Azure,Angular;ASP.NET;ASP.NET Core ;jQuery,ASP.NET Core ,.NET Framework;.NET Core / .NET 5,.NET Core / .NET 5,Git,Git;Xamarin,Visual Studio;Visual Studio Code,Visual Studio,Windows,Call a coworker or friend;Visit Stack Overflow;Google it;Watch help / tutorial videos;Do other work and come back later,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Multiple times per day,"Yes, definitely",Yes,55-64 years old,Man,No,Straight / Heterosexual,White or of European descent,I am deaf / hard of hearing,None of the above,Appropriate in length,Easy,134176
107,I am a developer by profession,Employed full-time,United Kingdom of Great Britain and Northern Ireland,NA,England,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc)",10,3,"Developer, full-stack","1,000 to 4,999 employees",GBP	Pound sterling,50000,Yearly,Go;JavaScript;Node.js;PHP;TypeScript,Go;JavaScript;PHP;TypeScript,Microsoft SQL Server,NA,NA,NA,React.js,React.js,NA,NA,Git,Git,PHPStorm;Visual Studio Code,PHPStorm;Visual Studio Code,Windows,Visit Stack Overflow;Google it,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,Neutral,No,18-24 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Easy,64630
108,"I used to be a developer by profession, but no longer am",Employed full-time,France,NA,NA,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11 - 17 years,School,30,25,"Product manager;Senior Executive (C-Suite, VP, etc.)",NA,NA,NA,NA,Java;JavaScript,Java;JavaScript,Oracle,NA,NA,NA,React.js,React.js,NA,NA,Git,Git,IntelliJ;Visual Studio Code,IntelliJ;Visual Studio Code,MacOS,Visit Stack Overflow,Stack Overflow;Stack Exchange,A few times per week,Yes,A few times per month or weekly,"Yes, definitely",No,45-54 years old,Man,No,NA,White or of European descent,None of the above,None of the above,Too short,Easy,NA
109,I am a developer by profession,Employed full-time,Spain,NA,NA,"Associate degree (A.A., A.S., etc.)",25 - 34 years,Coding Bootcamp;School,10,8,"Developer, full-stack;Developer, back-end;Product manager",100 to 499 employees,EUR European Euro,36000,Yearly,HTML/CSS;Java;JavaScript;Node.js;Python;SQL,HTML/CSS;Java;JavaScript;Node.js;Python;SQL;TypeScript,Microsoft SQL Server;MongoDB;PostgreSQL,MongoDB;PostgreSQL,NA,NA,jQuery;Spring,Angular;Angular.js;Express;Spring,NA,NA,Docker;Git,Ansible;Docker;Git,Eclipse;Notepad++,Eclipse;Notepad++,Windows,Visit Stack Overflow;Go for a walk or other physical activity;Meditate,Stack Overflow,Multiple times per day,Yes,A few times per week,"Yes, definitely",No,25-34 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Neither easy nor difficult,38915
110,I am a developer by profession,Employed full-time,Nigeria,NA,NA,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18 - 24 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Online Courses or Certification",8,3,"Developer, mobile;Developer, front-end;Developer, full-stack",10 to 19 employees,NGN	Nigerian naira,150000,Monthly,HTML/CSS;JavaScript;Python,NA,MySQL;PostgreSQL;Redis,NA,DigitalOcean,NA,Angular.js;Django;React.js,NA,React Native,NA,Docker,Docker,Android Studio;PyCharm;Vim;Visual Studio,Android Studio;PyCharm;Vim;Visual Studio,MacOS,Visit Stack Overflow;Google it;Do other work and come back later,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Daily or almost daily,"Yes, definitely",Yes,18-24 years old,Man,No,Straight / Heterosexual,Black or of African descent,None of the above,None of the above,Appropriate in length,Easy,4944
111,I am a developer by profession,Employed part-time,Germany,NA,NA,Some college/university study without earning a degree,11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Forum",6,1,"Developer, full-stack;Student",20 to 99 employees,EUR European Euro,2275,Monthly,Bash/Shell;C#;Dart;Go;HTML/CSS;JavaScript;Node.js;PowerShell;Python;SQL;TypeScript,Bash/Shell;C#;Go;HTML/CSS;JavaScript;Node.js;PowerShell;Python;SQL;TypeScript,Couchbase;DynamoDB;Elasticsearch;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis;SQLite,DynamoDB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis;SQLite,AWS;Microsoft Azure,AWS;Microsoft Azure,ASP.NET;ASP.NET Core ;Express;Flask;React.js,ASP.NET;ASP.NET Core ;Express;React.js,.NET Framework;.NET Core / .NET 5;Flutter;Pandas;React Native,.NET Framework;.NET Core / .NET 5;Flutter,Ansible;Docker;Git;Kubernetes;Terraform;Xamarin,Ansible;Docker;Git;Kubernetes;Terraform;Xamarin,Android Studio;Atom;Visual Studio;Visual Studio Code,Visual Studio;Visual Studio Code,Windows,Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,"No, not really",Yes,18-24 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Neither easy nor difficult,29508
112,I am a developer by profession,Employed full-time,Sweden,NA,NA,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,School;Friend or family member;Other (please specify):,25,20,"Developer, embedded applications or devices;Engineering manager;Product manager",20 to 99 employees,SEK	Swedish krona,NA,Monthly,Assembly;C;C++,Assembly;C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eclipse;Visual Studio,NA,Other (please specify):,Call a coworker or friend;Do other work and come back later,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Daily or almost daily,"Yes, somewhat",Yes,35-44 years old,Man,No,Straight / Heterosexual,"Or, in your own words:",None of the above,None of the above,Too long,Neither easy nor difficult,NA
113,I code primarily as a hobby,I prefer not to say,Greece,NA,NA,Something else,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School",4,NA,NA,NA,NA,NA,NA,Dart;HTML/CSS;Python,Java;JavaScript;PHP;SQL,NA,NA,Heroku,NA,React.js,React.js,Flutter,Flutter,Git,NA,Android Studio;Visual Studio Code,NA,Windows,Visit Stack Overflow;Google it,Stack Overflow;Stack Exchange,A few times per week,Yes,A few times per month or weekly,Neutral,No,Under 18 years old,Man,No,Queer,White or of European descent,None of the above,None of the above,Appropriate in length,Easy,NA
114,I am a developer by profession,Employed full-time,Netherlands,NA,NA,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18 - 24 years,School;Online Courses or Certification,8,4,"Developer, back-end",20 to 99 employees,EUR European Euro,NA,Monthly,Go;Java;Node.js;PHP;Python,Node.js;PHP;Python,Firebase;MySQL;PostgreSQL,MySQL,AWS,NA,Angular;Laravel;Symfony,Angular;Laravel,NumPy;Pandas;TensorFlow,NA,Docker;Git,Docker;Git;Kubernetes,PHPStorm;Visual Studio Code,PHPStorm;Visual Studio Code,MacOS,Call a coworker or friend;Visit Stack Overflow;Google it;Do other work and come back later,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per week,"Yes, somewhat",No,25-34 years old,Man,No,Straight / Heterosexual,Middle Eastern,None of the above,None of the above,Appropriate in length,Easy,NA
115,I am a developer by profession,Employed full-time,Italy,NA,NA,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11 - 17 years,School;Online Forum,13,2,"Engineer, data;Developer, back-end;Academic researcher;Student;Data or business analyst",500 to 999 employees,EUR European Euro,1100,Monthly,Bash/Shell;HTML/CSS;Java;JavaScript;PHP;Python;Scala;SQL;VBA,LISP;Perl,MySQL;Oracle;PostgreSQL,MongoDB,AWS,NA,jQuery;React.js;Vue.js,Angular.js;Ruby on Rails,Apache Spark;Hadoop;Keras;NumPy;Pandas;TensorFlow,NA,Git,Docker,Android Studio;IntelliJ;Notepad++;PyCharm;RStudio;Vim;Visual Studio Code,RStudio,Windows,Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos,Stack Overflow,Daily or almost daily,Yes,Daily or almost daily,Neutral,Yes,25-34 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Too long,Easy,14268
116,I am a student who is learning to code,"Student, full-time",Poland,NA,NA,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",5 - 10 years,Other (please specify):,4,NA,NA,NA,NA,NA,NA,Bash/Shell;C#;C++;HTML/CSS;JavaScript;PowerShell;Python,Bash/Shell;C#;C++;HTML/CSS;JavaScript;Python;TypeScript,NA,NA,NA,NA,NA,NA,NumPy,NumPy,Git,Docker;Git;Unity 3D,Visual Studio Code,NA,Windows,Visit Stack Overflow;Google it,Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,Less than once per month or monthly,"Yes, somewhat",Yes,Under 18 years old,Man,No,Straight / Heterosexual,White or of European descent,NA,I have a concentration and/or memory disorder (e.g. ADHD),Appropriate in length,Easy,NA
117,I am a developer by profession,Employed full-time,Netherlands,NA,NA,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5 - 10 years,"Other online resources (ex: videos, blogs, etc);School;Online Courses or Certification",10,2,"Developer, front-end;Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end;Designer",100 to 499 employees,EUR European Euro,40000,Yearly,Bash/Shell;HTML/CSS;Java;JavaScript;Kotlin;Node.js;Python;SQL;TypeScript,Bash/Shell;HTML/CSS;Java;JavaScript;Kotlin;Node.js;Python;TypeScript,MariaDB;MySQL;PostgreSQL,MariaDB;MySQL;PostgreSQL,NA,NA,Angular;React.js;Spring,Angular;React.js;Spring;Vue.js,NA,NA,Docker;Git,Deno;Docker;Git;Kubernetes;Yarn,IntelliJ;Visual Studio Code,IntelliJ;Visual Studio Code,Linux-based,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos;Do other work and come back later,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,"No, not at all",No,25-34 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Easy,43239
118,I am a developer by profession,Employed full-time,Albania,NA,NA,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc)",3,Less than 1 year,"Developer, front-end",2 to 9 employees,ALL	Albanian lek,400,Monthly,HTML/CSS;JavaScript;Node.js,HTML/CSS;JavaScript;Node.js;TypeScript,MongoDB,NA,Heroku,NA,Express;React.js,Express;React.js,NA,NA,Git,Docker;Git;Kubernetes,Visual Studio Code,Visual Studio Code,Windows,Visit Stack Overflow;Google it;Watch help / tutorial videos,Stack Overflow,A few times per week,Yes,I have never participated in Q&A on Stack Overflow,Neutral,No,18-24 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Easy,48
119,I am a developer by profession,Employed full-time,United States of America,Iowa,NA,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,Friend or family member,12,6,"Developer, full-stack",100 to 499 employees,USD	United States dollar,140000,Yearly,C#;HTML/CSS;JavaScript;SQL;VBA,C#;HTML/CSS,DynamoDB;Elasticsearch;Microsoft SQL Server;SQLite,Microsoft SQL Server;SQLite,Microsoft Azure,Microsoft Azure,Angular.js;ASP.NET;ASP.NET Core ;jQuery,ASP.NET Core ,.NET Framework;.NET Core / .NET 5,.NET Core / .NET 5,NA,NA,Rider;Visual Studio;Visual Studio Code,Rider;Visual Studio;Visual Studio Code,MacOS,Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,Stack Overflow,Daily or almost daily,Yes,A few times per week,Neutral,No,25-34 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Easy,140000
120,I am a developer by profession,Employed full-time,France,NA,NA,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",18 - 24 years,"Other online resources (ex: videos, blogs, etc);Online Courses or Certification",5,2,"Developer, front-end;Engineering manager","1,000 to 4,999 employees",EUR European Euro,42000,Yearly,HTML/CSS;JavaScript;Node.js;Python,Elixir;Erlang;Go;JavaScript;Node.js;Python;TypeScript,Firebase,DynamoDB;Firebase;MongoDB,DigitalOcean;IBM Cloud or Watson,AWS;DigitalOcean;IBM Cloud or Watson,React.js,Flask;React.js;Vue.js,React Native,TensorFlow;Torch/PyTorch,Git,Docker;Git;Kubernetes;Terraform,IPython/Jupyter;Visual Studio Code,IPython/Jupyter;PyCharm;Vim,Windows,Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos,Stack Overflow;Stack Exchange,Multiple times per day,Yes,I have never participated in Q&A on Stack Overflow,"Yes, definitely",No,25-34 years old,Man,NA,NA,Black or of African descent,None of the above,NA,Too long,Easy,45401
121,"I used to be a developer by profession, but no longer am",Retired,United States of America,Maryland,NA,"Other doctoral degree (Ph.D., Ed.D., etc.)",18 - 24 years,School,More than 50 years,50,NA,NA,NA,NA,NA,Java;Kotlin;Swift,Java;Kotlin;Swift,SQLite,SQLite,Google Cloud Platform,Google Cloud Platform,NA,NA,NA,NA,Git,Git,Android Studio;Xcode,Android Studio;Xcode,MacOS,Visit Stack Overflow;Go for a walk or other physical activity;Google it;Do other work and come back later,Stack Overflow;Stack Exchange,Multiple times per day,Yes,A few times per week,"Yes, definitely",No,65 years or older,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Easy,NA
122,I am a developer by profession,"Independent contractor, freelancer, or self-employed",India,NA,NA,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);School",8,2,"Developer, full-stack",20 to 99 employees,INR	Indian rupee,NA,NA,HTML/CSS;JavaScript;Node.js;Python;TypeScript,C++;HTML/CSS;JavaScript;Node.js;Python;TypeScript,MongoDB;PostgreSQL,Cassandra;DynamoDB;Elasticsearch;Firebase;MongoDB;PostgreSQL;Redis,AWS;DigitalOcean;Heroku,AWS;Google Cloud Platform;Microsoft Azure,Express;React.js,Express;Gatsby;React.js;Vue.js,NumPy;Pandas,Keras;NumPy;Pandas;React Native;TensorFlow,Docker;Git;Yarn,Docker;Git;Kubernetes;Yarn,Sublime Text;Visual Studio Code,Sublime Text;Vim;Visual Studio Code,MacOS,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Multiple times per day,"Yes, definitely",No,18-24 years old,Man,No,Straight / Heterosexual,South Asian,None of the above,None of the above,Appropriate in length,Easy,NA
